職稱,公司名稱,要求工作經驗,要求學歷,所需技能
(LTEC) E-Commerce Sales Manager_LINE Shopping Retail Team,LINE Taiwan_台灣連線股份有限公司,3年以上,大學以上,不拘
Diagnostic Department - Sales Executive,美商亞培股份有限公司台灣分公司,3年以上,大學以上,不拘
國外業務人員 Account Sales (工作地點：汐止辦公室),奇力新電子股份有限公司,3年以上,大學、碩士,不拘
業務代表(Outside Sales)-Taipei(年度徵才-儲備幹部),運達航運股份有限公司,不拘,大學、碩士,不拘
Skin Care Packaging Sales Representative,台灣開廣股份有限公司,2年以上,專科、大學、碩士,不拘
南美地區業務專員／專案經理(Southern American Regional Sales／Account Manager),十銓科技股份有限公司,1年以上,專科、大學、碩士,不拘
Design Service Sr. Sales Manager/Director Position,翊傑科技股份有限公司,8年以上,大學、碩士,不拘
Middle East & Africa Sales Manager(嵌入式事業群/林口園區),Advantech_研華股份有限公司,2年以上,大學、碩士,不拘
Sales Specialist(Gaming),樺漢科技股份有限公司_鴻海集團,3年以上,大學、碩士,不拘
Sales Account Manager for NoteBook,遠大電通股份有限公司,4年以上,大學以上,不拘
雲端應用伺服器業務管理(Sales PM) - J1663,廣達電腦股份有限公司,不拘,大學、碩士,不拘
特用化學業務人員 sales representative/ sales engineer (Senior position),青林企業股份有限公司,2年以上,專科、大學、碩士,"['檢查及檢驗報告結果判讀', '化學分析能力', '化工反應工程作業', '判讀化工相關製程圖', '客戶端技術服務業務', '提供化學工程技術服務', '熟悉化學工程原理']"
Sales Performance Management & Incentive planning Team Leader業務人員績效管理主管_S&D,花旗(台灣) 商業銀行股份有限公司,8年以上,專科、大學、碩士,不拘
業務代表(Outside Sales)-Kaohsiung (年度徵才-儲備幹部),運達航運股份有限公司,不拘,大學、碩士,不拘
【台北】Potential Sales Specialist(儲備營業人員),福懋興業股份有限公司,不拘,大學以上,不拘
Inside Sales - IIoT Aonline,Advantech_研華股份有限公司,1年以上,大學、碩士,不拘
Sales Senior Manager或Sales Director,香港商希瑞科技股份有限公司台灣分公司,10年以上,專科、大學、碩士,不拘
International Sales & Project Manager,廣錠科技股份有限公司,5年以上,大學以上,不拘
Sales Manager @Tokyo,Advantech_研華股份有限公司,不拘,大學、碩士,不拘
AN-內湖知名韓商B2B Sales Assistant (35~42K*13個月長期約聘),新加坡商立可人事顧問有限公司台灣分公司,1年以上,大學以上,不拘
特用化學業務人員 sales representative/ sales engineer (Junior position),青林企業股份有限公司,2年以上,專科、大學、碩士,"['檢查及檢驗報告結果判讀', '化學分析能力', '化工反應工程作業', '判讀化工相關製程圖', '客戶端技術服務業務', '提供化學工程技術服務', '熟悉化學工程原理']"
伺服器Pre-Sales (Technical Support PM)專員/主管(杭州) - J1512,廣達電腦股份有限公司,2年以上,大學、碩士,不拘
業務團隊主管 Sales Director (北部/中部/南部),肚肚股份有限公司,6年以上,專科以上,不拘
海外業務銷售主管/Oversea Chemical Sales Lead（China：上海、華南）,震豐股份有限公司,2年以上,大學、碩士,不拘
Pre-sales,永磐科技股份有限公司,5年以上,專科以上,不拘
外勤業務人員(菲律賓籍) / Outdoor Sales Executive (Filipino),KD_科定企業股份有限公司,不拘,大學以上,不拘
國際業務經理/專員 (International Sales Manager/Specialist),基點資訊股份有限公司,不拘,大學以上,不拘
Sales Specialist (North Taiwan),新加坡商必帝股份有限公司台灣分公司,2年以上,大學、碩士,不拘
Sales Assistant 業務助理,Shopline Limited_商線科技有限公司,3年以上,大學、碩士,不拘
業務經理 Sales Manager,台北大直英迪格酒店_維春商業開發股份有限公司大直分公司,2年以上,專科以上,不拘
Sales Manager 業務主管,向陽優能電力股份有限公司,10年以上,碩士以上,"['預算編製與成本控管', '專案時間╱進度控管', '專案規劃執行╱範圍管理', '專案溝通╱整合管理', '專案管理架構及專案說明', '工作任務╱業績項目分配', '業績目標達成', '督導人員工作績效', '部門績效目標管理', '行銷策略擬定', '顧客關係管理', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Air/Ocean - Sales Rep.,鴻霖航空貨運代理股份有限公司,不拘,大學,不拘
Sales intern 業務實習生,Shopline Limited_商線科技有限公司,不拘,大學、碩士,不拘
業務助理 Sales Associate,正積材料有限公司,不拘,大學、碩士,"['化學分析能力', '材料評估測試', '高分子材料設計與合成', '產品材料分析', '化工熱力學相關知識', '判讀化工相關製程圖', '客戶端技術服務業務', '提供化學工程技術服務', '熟悉化學工程原理']"
展覽業務Sales Executive,可堤行銷設計股份有限公司,1年以上,專科以上,不拘
Sales Executive 業務專員,美商優莎納股份有限公司台灣分公司,3年以上,大學、碩士,"['行銷製作物規劃與執行', '提案與簡報技巧', '網路活動規劃與執行', '活動主持與場控', '廣告企劃案╱文案撰寫']"
Sales (專案開發),薩摩亞商宸展科技有限公司台灣分公司,8年以上,大學、碩士,不拘
【Sales 國外業務】,虎山實業股份有限公司,5年以上,專科、大學、碩士,不拘
《KIA》Sales Regional Manager,森那美起亞汽車股份有限公司,8年以上,大學、碩士,不拘
Sales Manager (995),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",不拘,大學以上,不拘
BD086 Account Sales,中磊電子股份有限公司,3年以上,大學、碩士,不拘
Boutique Supervisor/Senior Sales Associate_Vacheron Constantin江詩丹頓,"Richemont Asia Pacific Ltd., Taiwan Branch_香港商歷峯亞太有限公司台灣分公司",不拘,高中以上,不拘
業務助理 Sales Assistant,挪威商聯廣驗證股份有限公司台灣分公司,不拘,大學,不拘
解決方案銷售業務-Solution Sales(運輸產業) _ 汐止 _ 00000 ,緯創資通股份有限公司,8年以上,大學以上,不拘
Gogoro Sales Assistant 業務助理,台竣實業股份有限公司,1年以上,大學以上,"['報表彙整與管理', '文件或資料輸入建檔處理', '文件檔案資料處理、轉換及整合工作', '零用金管理', '業績與管理報表撰寫']"
[知名新創AI對話機器人公司] (Senior) Sales Manager- 207JY,萬寶華企業管理顧問股份有限公司,3年以上,大學以上,不拘
Part Time Sourcing and Sales Team  短期工讀生,富樂夢股份有限公司,不拘,專科、大學、碩士,不拘
業務經理 Account Sales Manager,振作國際有限公司,3年以上,高中以上,不拘
Chemical Sales Engineer(HCMC/Hanoi) | Kỹ Thuật Viên Phụ Trách Kinh Doanh Hóa Chất (Hà Nội/ TP. Hồ Chí Minh),震豐股份有限公司,不拘,大學、碩士,不拘
業務專員 Sales,薩巴卡瑪國際有限公司,5年以上,專科、大學、碩士,"['品牌行銷管理', '提案與簡報技巧', '行銷策略擬定', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
伺服器Pre-Sales (Technical Support PM)專員/主管(北京) - J1511,廣達電腦股份有限公司,2年以上,大學、碩士,不拘
Account Sales 業務經理,聯立電通有限公司,5年以上,專科、大學,"['提案與簡報技巧', '貿易單據製作', '熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集', '產品介紹及解說銷售']"
國際業務&儲備幹部(泰國) / International Sales & Territory Management Trainee(Thailand),KD_科定企業股份有限公司,不拘,大學以上,不拘
外銷業務 International Sales Engineer,鎰福電子股份有限公司,3年以上,專科以上,不拘
業務助理及內勤業務(Sales assistant and inside sales),竑瑞科技股份有限公司,1年以上,高中、專科、大學,"['負責文件更新、發行、審核與跟催作業', '圖書館管理與知識推廣', '熟悉文件管制作業程序（DCC）', '熟悉圖書借閱作業流程', '輸入資料與原始文件檔案比對審核', '辦理檔案調出、收回、催還、整理及上架', '檔案管理之電腦化策略', '文件管理中心之建立與維護', '出口貨物報關', '進出口作業流程控管', '進出口報關管理', '熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '文書處理軟體操作', '流程圖軟體操作', '簡報軟體操作']"
知名金融業-中高階-分行經理/業務經理/法金JumboRM/MME RM/FINI -Institutional Sales Manager/(904),"經緯智庫股份有限公司 (MGR Consulting Co., Ltd.)",3年以上,大學以上,不拘
Sales_內勤業務,宜鼎國際股份有限公司,2年以上,大學、碩士,不拘
★工廠小資女躍昇TOP SALES，收入翻倍再翻倍,住商不動產桃園同安加盟店_宙厚不動產有限公司,不拘,不拘,不拘
業務專員/業務經理 Sales Specialist/Sales Manager,小柿智檢科技股份有限公司,5年以上,大學以上,不拘
SWP3_656_Sales Manager,Spring Professional_藝珂人事顧問股份有限公司躍科分公司,3年以上,大學以上,不拘
Carotrans Sales Executive ( Kaohsiung ),邁輝國際物流有限公司,3年以上,專科以上,不拘
Carotrans Sales Executive ( Taipei  ),邁輝國際物流有限公司,3年以上,專科以上,不拘
Inside Sales(POS),樺漢科技股份有限公司_鴻海集團,2年以上,大學,不拘
業務總監 / 副總監 Sales Director / Deputy Sales Director,果實夥伴股份有限公司,5年以上,專科以上,"['提案與簡報技巧', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力', '客戶情報蒐集', '產品介紹及解說銷售']"
業務專員 Sales Specialist,AQUECARE 天淨_承昊生技股份有限公司,1年以上,專科以上,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集', '產品進銷存統計分析', '產品介紹及解說銷售']"
Sales Manager業務經理,聯合通商電子商務股份有限公司,5年以上,專科以上,不拘
Sales Manager_銷售經理,如梭世代有限公司,2年以上,大學以上,"['異業合作規劃與執行', '提案與簡報技巧', '業務或通路開發', '業績目標分配與績效達成']"
Inside Sales Rep ,(Synaptics Taiwan)香港商新思國際科技有限公司台灣分公司,5年以上,專科、大學,不拘
(Sr.)Sales Engineer,新加坡商安富利股份有限公司台灣分公司,3年以上,大學以上,不拘
JE0201-網通產品Sales,啟碁科技股份有限公司,8年以上,大學、碩士,不拘
SA10193 Project Manager (OP sales),華碩電腦股份有限公司,1年以上,大學、碩士,不拘
Social Media Sales / Manager,愛瑪麗歐股份有限公司,3年以上,大學、碩士,不拘
Sales & Account Manager 業務客戶經理 (財務、金融、投資人關係領域 Financial/IR industry),寫意達有限公司,3年以上,專科、大學、碩士,不拘
規劃顧問Pre-sales,全景軟體股份有限公司,5年以上,專科、大學、碩士,不拘
國際業務&儲備幹部(越南) / International Sales & Territory Management Trainee(Vietnam),KD_科定企業股份有限公司,不拘,大學以上,不拘
國際業務&儲備幹部(印尼) / International Sales & Territory Management Trainee(Indonesia),KD_科定企業股份有限公司,不拘,大學以上,不拘
PM/Marketing/Sales Engineer,瑞鼎科技股份有限公司,3年以上,碩士,不拘
Sales Specialist(日本區),TechNexion Ltd_彤晟科技有限公司,1年以上,大學、碩士,專案溝通╱整合管理
JY-外商獵才! 工業產品/機械/設備 Sales Engineer(Manager Level)  (需機械背景/英文好),新加坡商立可人事顧問有限公司台灣分公司,不拘,大學以上,不拘
【產品技術專業】售前技術顧問Pre-sales(桃園或新竹),亞太電信股份有限公司,5年以上,大學以上,不拘
"After Sales Intern (Available June 1, 2020)",台灣保時捷車業股份有限公司,不拘,專科、大學,不拘
昕奇雲端-Territory Sales,上奇科技股份有限公司,3年以上,專科以上,不拘
【AWP0】Sales Account Manager,其陽科技股份有限公司,3年以上,大學以上,不拘
(桃園八德)兼職-團體球類/球拍類運動商場銷售人員Part-time Sport Sales Assistant (Taoyuan Bade),DECATHLON法商迪卡儂_台灣迪卡儂有限公司,不拘,高中、專科、大學、碩士,不拘
國外業務 (Sales),崴強科技股份有限公司,3年以上,大學、碩士,不拘
"業務行政專員 (越南胡志明市) Sales Operation Specialist (HCM City, Vietnam)",震豐股份有限公司,不拘,大學、碩士,不拘
Sales/業務,億若思科技有限公司,不拘,專科、大學、碩士,不拘
通路業務專員 Sales Associate,綠藤生物科技股份有限公司,2年以上,專科、大學、碩士,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集', '客訴案件處理', '產品介紹及解說銷售']"
【iKala Cloud】業務經理 Sales Manager,愛卡拉互動媒體股份有限公司,2年以上,專科、大學、碩士,不拘
南區業務專員 Sales Representative,優視德股份有限公司,不拘,高中以上,不拘
國外業務專員 Account Sales,歐律有限公司,5年以上,大學以上,不拘
NuEIP International  Sales (亞洲區),岱鐠科技有限公司,3年以上,專科、大學、碩士,不拘
國外業務管理師 Sales Representative,佳創生技股份有限公司,不拘,大學、碩士,不拘
Senior Sales 資深國內業務,文曄集團_文曄科技股份有限公司,3年以上,大學以上,不拘
Sales Engineer-業務工程師,隆電股份有限公司,6年以上,大學、碩士,"['業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Sales Asst. Manager /Sales Supervisor 南區業務副理/主任,白金花園酒店_白金花園管理顧問股份有限公司,3年以上,大學以上,不拘
業務助理( Sales Assistant ),筑波科技股份有限公司,不拘,大學,不拘
客戶營運專員 Account Sales Rep.,法柏藍國際有限公司,1年以上,不拘,不拘
HRnetOne Sales Consultant 專業業務顧問,新加坡商和樂网有限公司台灣分公司,不拘,大學、碩士,不拘
International Sales Representative/ Manager- Power Wheelchair (國內外業務人員/主管- 電動輪椅),環瑞醫投資控股股份有限公司,3年以上,大學以上,不拘
網路行銷業務 Sales Representative,亞瑞特數位社群行銷有限公司,不拘,大學以上,不拘
業務助理(Sales_024),正文科技股份有限公司,2年以上,大學、碩士,不拘
大陸地區Sales Head (Local Hired),英屬維京群島商禾寶醫療器材股份有限公司台灣分公司,10年以上,大學以上,不拘
業務助理(Sales_002),正文科技股份有限公司,不拘,大學、碩士,不拘
Sales Specialist 銷售專員(高雄),Gogoro Taiwan Limited_睿能創意股份有限公司,5年以上,專科、大學,不拘
Inside Sales 行銷業務專員,全漢企業股份有限公司,2年以上,專科、大學,不拘
Junior Sales 銷售人員 (台茂),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
【KOL Radar】業務總監 Sales Director,愛卡拉互動媒體股份有限公司,10年以上,大學、碩士,不拘
國外業務助理 Sales Associate,儷寶化粧品股份有限公司,1年以上,大學以上,不拘
Sales Assistant (業務助理),香港商賀氏精密機械系統股份有限公司台灣分公司,不拘,專科以上,不拘
國外業務專員/International Sales Representative,維樂工業股份有限公司,1年以上,專科、大學、碩士,不拘
Sales Specialist 銷售專員(台南),Gogoro Taiwan Limited_睿能創意股份有限公司,2年以上,專科、大學,不拘
Sales & Project Executive 專案執行,法亞科技整合行銷股份有限公司,1年以上,大學以上,"['專案時間╱進度控管', '專案規劃執行╱範圍管理', '異業合作規劃與執行', '廣告企劃案╱文案撰寫', '廣告創意發想與提案', '廣告業務銷售能力', '多媒體企劃設計', '多媒體簡報製作']"
【KOL Radar】業務經理 Sales Manager,愛卡拉互動媒體股份有限公司,5年以上,專科、大學、碩士,不拘
Asia Sales Manager/Director,愛瑪麗歐股份有限公司,不拘,大學以上,不拘
跨國業務工程師 Global Sales Engineer,貝爾威勒電子股份有限公司,3年以上,大學以上,不拘
雲端銷售業務 Cloud Service Sales,蓋亞資訊有限公司,3年以上,專科以上,不拘
高階業務經理 Senior Sales Manager,正積材料有限公司,不拘,碩士以上,不拘
Sales & Marketing Specialist- European and American,全球傳動科技股份有限公司,2年以上,專科、大學、碩士,"['國際貿易基本概念', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
國外業務 Int'l Sales,源浩科技股份有限公司,4年以上,大學、碩士,不拘
Sales Specialist 銷售專員 (桃園),Gogoro Taiwan Limited_睿能創意股份有限公司,2年以上,專科、大學,不拘
Sales Project 業務專案人員,向陽優能電力股份有限公司,5年以上,專科以上,不拘
法國業務 (France Sales),英屬維京群島商百崴宇智股份有限公司台灣分公司,不拘,大學、碩士,不拘
Sales Account Manager(林口園區),Advantech_研華股份有限公司,5年以上,大學、碩士,不拘
International Sales (iLogistics/林口園區),Advantech_研華股份有限公司,2年以上,大學、碩士,不拘
立福專業顧問 RecruitFirst Sales Consultant,新加坡商立福人事顧問有限公司台灣分公司,不拘,專科、大學、碩士,不拘
銷售顧問 Sales Adviser,香港商逸傑貿易股份有限公司台灣分公司,2年以上,高中、專科、大學、碩士,產品介紹及解說銷售
內勤業務專員/Inside Sales,展大國際股份有限公司,不拘,高中以上,不拘
客戶業務Account Sales - J1325,廣達電腦股份有限公司,5年以上,大學、碩士,不拘
Sales(高級專員),勤誠興業股份有限公司,3年以上,大學以上,不拘
Inside Sales (中國),東莞華慶塑料有限公司_連絡處,1年以上,大學,不拘
BD06 國外業務 Account Sales,中磊電子股份有限公司,6年以上,大學、碩士,不拘
助理業務(Assistant Sales),聯易科技股份有限公司,不拘,專科、大學,不拘
客戶經理(Sales Account Manager),旭聯科技股份有限公司,5年以上,大學以上,"['專案溝通╱整合管理', '協商談判能力', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
日本國外業務 (Inside Sales),智愛科技股份有限公司,3年以上,專科、大學,不拘
Project Engineer-Sales Department(Project Execution ),世紀離岸風電設備股份有限公司,不拘,大學以上,文書處理軟體操作
業務人員 Sales Representative (高雄),驛流國際有限公司,不拘,不拘,不拘
展示專員 Sales Advisor_新竹,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,"['客戶情報蒐集', '產品介紹及解說銷售']"
展示專員 Sales Advisor_嘉義,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,不拘
Sales Manager-醫院組(中區),生達化學製藥股份有限公司,1年以上,專科以上,"['提案與簡報技巧', '實體活動規劃與執行', '顧客關係管理', '產品介紹及解說銷售']"
業務專員(Sales Specialist),原見精機股份有限公司,4年以上,專科以上,不拘
【Tablet】Sales Account Management【林口】,神達電腦股份有限公司,5年以上,大學、碩士,不拘
會員卡銷售主任 Membership Sales Supervisor,高雄萬豪酒店_Kaohsiung Marriott Hotel _朕豪大酒店股份有限公司,2年以上,大學、碩士,不拘
Sales Manager (化學業)-202AC,萬寶華企業管理顧問股份有限公司,8年以上,大學以上,不拘
國外業務(Sales_021),正文科技股份有限公司,3年以上,大學,不拘
B2B2C Account Sales (Contractor)_台中,LG_台灣樂金電器股份有限公司,3年以上,專科、大學、碩士,業務或通路開發
宴會業務專員 Catering Sales Coordinator,台北(國泰)萬怡酒店_國泰飯店管理顧問事業股份有限公司民生建國分公司,2年以上,專科、大學,不拘
NB OEM Sales(日文),微星科技股份有限公司,5年以上,大學、碩士,不拘
車載 Sales Account Manager (內湖),宸鴻光電科技股份有限公司,3年以上,專科以上,不拘
俄羅斯業務(Russia Sales),英屬維京群島商百崴宇智股份有限公司台灣分公司,不拘,大學、碩士,不拘
展示專員 Sales Advisor_台中,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,"['客戶情報蒐集', '產品介紹及解說銷售']"
NL-美商民生日用品公司 (FMCG) Sales Position: Account Supervisor to Sr. Account Supervisor $1M起 (英文精通/個性活潑/台風穩健),新加坡商立可人事顧問有限公司台灣分公司,3年以上,大學以上,不拘
Reservation Sales Agent 訂房專員/主管,白金花園酒店_白金花園管理顧問股份有限公司,1年以上,高中、專科、大學,不拘
(Sr.)Sales Manager(South Korea),進聯工業股份有限公司,7年以上,專科、大學、碩士,不拘
PM/Marketing/Sales Engineer (車載),瑞鼎科技股份有限公司,3年以上,大學、碩士,不拘
Sales Representative 中區業務專員,博士倫股份有限公司,2年以上,專科、大學,不拘
NL- Sales Position: Area Account Supervisor to AM 區域業務發展(資深)主任~副理 (英文精通/數據分析能力/親和力與溝通能力) ,新加坡商立可人事顧問有限公司台灣分公司,3年以上,大學以上,不拘
Sales Support Assistant Manager (Taoyuan office),台灣麥德美股份有限公司,不拘,大學以上,不拘
【外商電子商務】誠徵 北區Sales Manager (具備管理經驗/3年以上業務開發經驗/新創、網路經驗者佳) JPS_852,藝珂人事顧問股份有限公司,5年以上,專科以上,不拘
【Sales】業務助理-2000170,安碁資訊股份有限公司,3年以上,專科、大學,不拘
【SR】Pre-Sales Engineer /Manager,普安科技股份有限公司,2年以上,大學、碩士,"['顧客關係管理', '產品介紹及解說銷售']"
Sales Specialist 專案業務工程師,"Adam Elements International Co., Ltd._亞果元素國際股份有限公司",不拘,專科、大學,不拘
S302 Account Sales,中磊電子股份有限公司,3年以上,大學、碩士,不拘
眼科-Equipment Sales Rep. (North),科林儀器股份有限公司,不拘,大學以上,不拘
Offshore fund institutional sales (法人業務),保德信證券投資信託股份有限公司,3年以上,大學、碩士,不拘
Sales Director for Financial Solutions Group,慧訊國際股份有限公司,8年以上,大學以上,不拘
行銷業務 (Sales Representative),商積股份有限公司,3年以上,高中、專科、大學、碩士,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
Sales Asst. Manager /Sales Supervisor 業務副理/主任,白金花園酒店_白金花園管理顧問股份有限公司,3年以上,大學以上,不拘
業務工程師 (Sales Engineer),信羿科技有限公司,不拘,專科、大學、碩士,不拘
宴會業務經理 Event Sales Manager,台北新板希爾頓酒店_凱裕商旅股份有限公司新板分公司,2年以上,大學以上,不拘
【iKala Cloud】內勤銷售經理/資深專員 Inside Sales Manager/ Senior Sales Specialist,愛卡拉互動媒體股份有限公司,1年以上,專科、大學、碩士,不拘
Asia Sales Manager/Director(Taipei),愛瑪麗歐股份有限公司,不拘,大學以上,不拘
Foreign Sales at Department Store/Mall (Skincare Products)本國籍人士請改投履歷至: 歐美奢華品牌Adore Cosmetics 百貨專櫃銷售顧問,伊特妮有限公司,不拘,高中以上,不拘
Sales Assistant EU - Unterschleißheim -Germany,華騰國際科技股份有限公司(ATP Electronics Taiwan Inc.),2年以上,大學以上,不拘
電話行銷(inside sales),普立得科技有限公司,3年以上,大學、碩士,不拘
展示專員 Sales Advisor_內湖,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,"['客戶情報蒐集', '產品介紹及解說銷售']"
內勤業務(inside sales),德林資訊電子股份有限公司,5年以上,專科、大學,不拘
企業客戶銷售  Sales representative,香港商中通服國際股份有限公司台灣分公司,4年以上,大學、碩士,資料通訊與網路應用
Mainfreight - Sales Executive ( 台北 ),邁輝國際物流有限公司,2年以上,專科、大學、碩士,不拘
Inside Sales (儲備業務),昆盈企業股份有限公司,2年以上,大學,不拘
(桃園八德) 兼職-健身/有氧/瑜珈/皮拉提斯運動商場銷售人員 Fitness/Cardio/Yoga/Pilates Sport Sales Asistant  (Taoyuan Bade),DECATHLON法商迪卡儂_台灣迪卡儂有限公司,不拘,專科、大學、碩士,不拘
SAS SBU-Sales(IOT BD),光寶科技股份有限公司,8年以上,大學以上,不拘
Sales Associate 銷售專員 (台北),香港商愛馬仕亞太區有限公司台灣分公司,2年以上,大學以上,不拘
Senior Sales Associate -台中大遠百,台灣浪凡股份有限公司,5年以上,專科、大學,不拘
餐飲訂席專員 Catering Sales Coordinator,澎湖福朋喜來登酒店_佳朋開發股份有限公司,1年以上,大學以上,"['品牌知名度推廣', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績與管理報表撰寫', '產品介紹及解說銷售']"
業務儲備人才 Sales Development Program,歐商_喜利得股份有限公司,不拘,專科、大學,不拘
展示專員 Sales Advisor_新莊,美商德盟全球凱展股份有限公司台灣分公司,不拘,不拘,"['客戶情報蒐集', '產品介紹及解說銷售']"
Sales specialist 業務專員,上準微流體股份有限公司,3年以上,大學、碩士,不拘
【新創】業務行銷專員 ( Sales Representative ),butybox美妝體驗網_雲太資訊有限公司,1年以上,專科、大學、碩士,不拘
半導體零組件業務工程師Sales Engineer,台灣聖禾堂科技有限公司,1年以上,專科、大學、碩士,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
SM2136 業務行銷實習生 Sales Marketing Intern,建騰創達科技股份有限公司,不拘,專科、大學、碩士,不拘
【日商SEASTAR】業務主管/專員  Sales Manager/Specialist,安貝兒康股份有限公司,5年以上,大學以上,不拘
國外部業務 Oversea Sales Engineer(中壢),碩達電子科技股份有限公司,1年以上,大學以上,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '廣告業務銷售能力']"
【iKala Cloud】資深業務專員 Senior Sales Specialist,愛卡拉互動媒體股份有限公司,不拘,大學、碩士,不拘
(ODM Sales) TV 業務人員,嘉捷科技企業股份有限公司,4年以上,大學、碩士,不拘
福德汽車 【 銷售顧問 Sales consultant 】,福德汽車商行,1年以上,不拘,不拘
Junior sales 銷售人員 (高雄地區 短期約聘),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中以上,不拘
Sales & Project Executive 業務專案執行,南瓜虛擬科技有限公司,2年以上,大學以上,不拘
國外業務經(副)理 Sales (Assistant) Manager,歐律有限公司,5年以上,大學、碩士,"['提案與簡報技巧', '顧客關係管理', '活動主持與場控', '市場調查企劃與執行', '熟悉進出口業務', '國際貿易基本概念', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Junior Sales 銷售人員 (台中大遠百),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
Junior Sales 銷售人員 (中壢SOGO),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
儲備幹部: 產品經理 (Sales Department),復華證券投資信託股份有限公司,不拘,碩士,不拘
【業務】業務管理師Sales Management,台星科企業股份有限公司,1年以上,大學、碩士,不拘
資深網路行銷業務 Senior Sales Representative,亞瑞特數位社群行銷有限公司,2年以上,大學以上,不拘
業務經理 (Sales Manager),信羿科技有限公司,不拘,專科、大學、碩士,不拘
Junior Sales 銷售人員(新莊宏匯),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
業務經理 (台中)  Sales Manager (mass market),EDOM_益登科技股份有限公司,8年以上,專科以上,不拘
Junior Sales 銷售人員(信義區),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中、專科、大學、碩士,不拘
500A 行銷業務部 總監 Director of Sales & Marketing,大倉久和大飯店_長鴻榮實業股份有限公司,9年以上,大學以上,不拘
Project Manager / Senior Project Manager (Pre-Sales / Project Management),順立智慧股份有限公司,3年以上,碩士以上,不拘
售前技術支援/經理 (Pre-Sales /Manager ),香港商第一線有限公司 台灣分公司,5年以上,大學以上,不拘
Junior sales 銷售人員 (桃園統領 短期約聘),AB Taiwan Limited Taiwan Branch_香港商亞妮斯比股份有限公司台灣分公司,不拘,高中以上,不拘
Sales / BD 商務拓展及業務副理,光禾感知科技股份有限公司,3年以上,專科以上,不拘
北區業務專員 (Sales Associate) – 行銷業務處,匯悅有限公司,不拘,專科、大學、碩士,不拘
國外業務4G、5G(Sales_001),正文科技股份有限公司,2年以上,大學、碩士,"['顧客關係管理', '國際貿易基本概念', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成']"
OEM/ ODM Account Manager for Broadband Devices (Sales_041),正文科技股份有限公司,2年以上,大學、碩士,不拘
Sales Specialist 銷售專員 (大台北全區),Gogoro Taiwan Limited_睿能創意股份有限公司,2年以上,專科、大學,不拘
Business Development - System Sales (電子簽核系統業務),幣護有限公司,2年以上,不拘,"['專案規劃執行╱範圍管理', '專案溝通╱整合管理', '具備財金專業知識', '產業分析與財務評估的能力', '提案與簡報技巧', '顧客關係管理', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Brooks Brothers - Sales Associate 銷售人員－天母,香港商俊思海外有限公司台灣分公司,不拘,高中、專科、大學,不拘
