職稱,公司名稱,要求工作經驗,要求學歷,所需技能
Director of Sales,佳易科技股份有限公司,10年以上,大學、碩士,不拘
International Sales,昕力資訊股份有限公司,1年以上,專科以上,不拘
Channel sales & Marketing Manager-Philippines,曜越科技股份有限公司,不拘,專科、大學、碩士,不拘
Senior Sales,智捷科技股份有限公司,5年以上,大學、碩士,不拘
Sales Engineer,鈺立微電子股份有限公司,3年以上,大學、碩士,不拘
[TapPay] Technical Sales,喬睿科技股份有限公司,3年以上,專科以上,"['客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Sales Manager (Based in Taichung) ,台灣米高蒲志國際股份有限公司,不拘,大學,不拘
Sales Positions,元成工業股份有限公司,3年以上,專科、大學、碩士,"['客戶資料更新維護', '國外業務開發', '客戶情報蒐集']"
Thailand Sales【Global Business Center】,"大江生醫股份有限公司(TCI CO., Ltd)",2年以上,大學、碩士,"['國際貿易基本概念', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '簡報軟體操作']"
SENIOR SALES EXECUTIVE(業務代表),Gebruder  Weiss Ltd._吉布達偉士運輸股份有限公司,2年以上,專科、大學,不拘
"(GWC Technology, Inc.) Sales Account Executive",東碩資訊股份有限公司,1年以上,大學、碩士,不拘
Sales Engineer 業務工程師,香港商安百拓香港有限公司台灣分公司,2年以上,大學以上,不拘
Sales Manager/Business Development (Digital AD Solution),台灣現觀股份有限公司,2年以上,專科以上,不拘
Sales Representative - Bakery Equipment,香港商莫迪維克貿易股份有限公司台灣分公司,3年以上,大學、碩士,不拘
Key Account Sales Manager @Tokyo,Advantech_研華股份有限公司,3年以上,大學、碩士,不拘
Equipment Sales Representative / Supervisor (Central),科明儀器股份有限公司,3年以上,專科以上,不拘
INTERNATIONAL SALES REPRESENTATIVE,邁達斯興業股份有限公司,不拘,大學、碩士,不拘
Senior Sales Engineer,香港商歐姆龍香港有限公司台灣分公司,3年以上,大學以上,"['業績目標達成', '工廠管理能力', '協商談判能力', '部門績效目標管理', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Sales Key Account Manager (SEMI/DRAM),普發真空科技股份有限公司,8年以上,大學以上,不拘
Equipment Sales Representative / Supervisor (North),科明儀器股份有限公司,3年以上,專科以上,不拘
Sales Manager / Assistant Sales Manager,美商優莎納股份有限公司台灣分公司,3年以上,大學以上,"['行銷製作物規劃與執行', '提案與簡報技巧', '顧客關係管理', '市場調查資料分析與報告撰寫', '廣告企劃案╱文案撰寫', '客戶資料更新維護', '業績目標分配與績效達成', '業績與管理報表撰寫', '客戶情報蒐集']"
Sales Manager - Tools & Construction Machinery,台灣米高蒲志國際股份有限公司,5年以上,大學,不拘
SENIOR SALES SUPERVISOR,邁達斯興業股份有限公司,不拘,大學、碩士,不拘
Air Export  Sales Assistant,鴻霖航空貨運代理股份有限公司,不拘,專科、大學,不拘
(Senior) Sales Manager (USA),富祐鴻集團 _ 富祐鴻科技股份有限公司,5年以上,大學,不拘
Key Account Sales,印能科技股份有限公司,3年以上,專科、大學、碩士,不拘
Sr. Sales or Sales Manager,視惟科技股份有限公司,6年以上,大學、碩士,"['顧客關係管理', '國外業務開發', '業務或通路開發', '客戶情報蒐集']"
Sales Manager - Jo Malone,美商雅詩蘭黛股份有限公司台灣分公司,5年以上,大學、碩士,不拘
AC-Internal sales(commercial product segment),泰金寶電通股份有限公司,不拘,大學以上,不拘
Cloud Computing Solution Sales Specialist_ Global SI partner alliance,廣達集團_雲達科技股份有限公司,2年以上,大學以上,不拘
Inside Sales Representative,英商飛特帝亞有限公司台灣分公司,3年以上,大學、碩士,不拘
Sales Representative (based in Vietnam),台灣亨斯邁化學工業股份有限公司,5年以上,大學、碩士,"['協商談判能力', '部門績效目標管理', '審核年度預算', '客訴處理及控管', '出口價格核算', '國際貿易基本概念', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '產品材料分析', '設計與監督紡織流程', '紡織材料製品之製作、更改、補綴縫紉', '化工反應工程作業', '熟悉化學工程原理']"
Customer Service Coordinator/Inside Sales,美商柏恩亞太股份有限公司台灣分公司,3年以上,大學、碩士,不拘
【PA】Sales Manager (Korea),普安科技股份有限公司,5年以上,大學、碩士,國外業務開發
"Senior Sales, Advertiser Engagement 廣告業務",AnyMind Group Limited (新加坡商艾雅思股份有限公司台灣分公司),3年以上,大學、碩士,"['提案與簡報技巧', '行銷策略擬定', '顧客關係管理', '客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '廣告業務銷售能力']"
Sales account manager,技嘉科技股份有限公司,2年以上,專科、大學、碩士,不拘
International Sales Specialist,弘凱光電股份有限公司,2年以上,大學以上,"['國外業務開發', '業務或通路開發']"
Customer Sales Representatives Intern (1-month contract),克耐得資訊有限公司,不拘,大學以上,不拘
KA Sales Specialist,台灣意高藥品有限公司,3年以上,專科以上,"['客戶資料更新維護', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫']"
Head Of Sales - Taiwanese MLM Company With Global Scale,台灣米高蒲志國際股份有限公司,6年以上,大學、碩士,不拘
Channel Sales(Northeast Asia Market),冠信電腦股份有限公司,5年以上,專科、大學、碩士,不拘
Sales Manager/ Staff,英屬開曼群島商泰鼎國際事業股份有限公司台灣分公司,不拘,大學以上,不拘
SALES  PM_8315,技嘉科技股份有限公司,2年以上,大學,不拘
Sales Manager – AUVESY銷售經理,德商美最時貿易股份有限公司台灣分公司,3年以上,大學以上,不拘
SAS SBU-Sales,光寶科技股份有限公司,2年以上,專科以上,不拘
UK Property Sales (Basic salary + excellent bonus),五都海外置業有限公司,1年以上,高中以上,"['財富管理規劃諮詢', '不動產分析與資料蒐集', '不動產投資業務', '不動產經紀營業', '不動產諮詢與服務', '房屋租賃仲介服務', '房屋買賣仲介服務', '客戶資料更新維護', '國外業務開發', '業務或通路開發', '業績目標分配與績效達成', '業績與管理報表撰寫', '產品諮詢與服務']"
Sales Assist Manager,優達科技股份有限公司,8年以上,大學、碩士,不拘
Sales / Project Leader,合一海洋科技有限公司,3年以上,大學、碩士,不拘
TA2207 Sales/AM for Camera system product,致伸科技股份有限公司,7年以上,大學、碩士,不拘
Field Sales Engineer,艾睿電子股份有限公司,不拘,大學,不拘
Senior Sales Manager (Sheet Metal) ,台灣米高蒲志國際股份有限公司,5年以上,大學,不拘
LED International Sales Representative,建名精密企業股份有限公司,1年以上,專科、大學、碩士,"['國外業務開發', '業務或通路開發', '業績目標分配與績效達成']"
Senior Sales Manager,台揚科技股份有限公司,10年以上,大學、碩士,不拘
Oversea Sales Engineer,宸曜科技股份有限公司,不拘,大學以上,不拘
